rank,prev_rank,name,league,off,def,spi
1,1,Liverpool,7,2.9,0.25,93.03
2,2,Bayern Munich,23,3.15,0.41,92.26
3,3,Manchester City,7,3.02,0.36,92.17
4,4,Barcelona,32,3.11,0.44,91.56
5,6,Paris Saint-Germain,25,2.95,0.48,89.92
6,5,Juventus,4,2.49,0.28,89.5
7,7,Ajax,30,3.16,0.71,88.03
8,8,Real Madrid,32,2.74,0.54,87.14
9,10,Chelsea,7,2.32,0.37,86.18
10,11,Atletico Madrid,32,2.15,0.32,85.34
11,9,Tottenham Hotspur,7,2.48,0.51,85.14
12,12,Napoli,4,2.3,0.5,83.28
13,13,Internazionale,4,2.27,0.49,83.15
14,14,Sevilla FC,32,2.41,0.61,82.34
15,15,Borussia Dortmund,23,2.41,0.62,82.16
16,16,Valencia,32,2.09,0.47,81.35
17,17,PSV,30,2.79,0.9,81.33
18,21,Manchester United,7,2.36,0.7,79.78
19,18,Arsenal,7,2.39,0.74,79.41
20,19,Eibar,32,2.12,0.57,79.34
21,20,FC Salzburg,1,2.65,0.95,78.54
22,26,Atalanta,4,2.34,0.76,78.25
23,27,AS Roma,4,2.3,0.77,77.7
24,22,Getafe,32,1.83,0.46,77.52
25,23,Real Sociedad,32,2.0,0.58,77.43
26,25,FC Porto,27,2.19,0.72,76.97
27,24,Lazio,4,2.1,0.69,76.44
28,28,RB Leipzig,23,2.16,0.73,76.4
29,29,Real Betis,32,1.91,0.57,76.3
30,30,Young Boys,10,2.64,1.13,75.13
31,31,TSG Hoffenheim,23,2.42,0.97,75.11
32,32,Leganes,32,1.82,0.56,74.95
33,34,Eintracht Frankfurt,23,2.13,0.79,74.7
34,35,AC Milan,4,1.91,0.65,74.37
35,36,Lyon,25,2.06,0.77,74.02
36,33,Benfica,27,2.05,0.78,73.56
37,37,Shakhtar Donetsk,22,2.19,0.88,73.5
38,38,Celta Vigo,32,2.1,0.82,73.45
39,39,Athletic Bilbao,32,1.86,0.67,73.03
40,40,CSKA Moscow,18,1.73,0.58,72.98
41,44,Fiorentina,4,1.84,0.67,72.6
42,41,Bayer Leverkusen,23,2.19,0.93,72.5
43,42,Espanyol,32,1.89,0.73,72.13
44,43,Schalke 04,23,1.91,0.74,72.11
45,45,Alavés,32,1.79,0.66,72.0
46,51,Villarreal,32,2.04,0.85,71.87
47,47,Club Brugge,6,2.15,0.94,71.48
48,46,Leicester City,7,1.78,0.68,71.3
49,50,Dynamo Kiev,22,2.03,0.86,71.22
50,55,Crystal Palace,7,1.77,0.68,71.09
51,49,Everton,7,1.94,0.81,71.04
52,52,FC Krasnodar,18,1.88,0.77,71.0
53,53,Borussia Monchengladbach,23,2.11,0.94,70.95
54,54,Girona FC,32,1.91,0.82,70.27
55,48,Watford,7,1.99,0.89,70.03
56,62,Wolverhampton,7,1.74,0.71,69.77
57,57,Palmeiras,5,1.73,0.71,69.61
58,58,Genk,6,2.01,0.93,69.45
59,67,Torino,4,1.75,0.73,69.44
60,59,Olympiacos,24,1.84,0.82,68.93
61,60,FC Midtjylland,16,2.24,1.13,68.9
62,61,SD Huesca,32,1.92,0.88,68.88
63,64,FC Copenhagen,16,2.07,1.0,68.74
64,65,Real Valladolid,32,1.75,0.76,68.69
65,66,PAOK Salonika,24,1.79,0.8,68.59
66,68,VfL Wolfsburg,23,1.82,0.82,68.52
67,56,Sporting CP,27,1.87,0.86,68.45
68,69,Rayo Vallecano,32,1.83,0.87,67.5
69,70,Flamengo,5,1.7,0.78,67.07
70,71,Marseille,25,1.82,0.89,66.87
71,74,Guangzhou Evergrande,12,2.2,1.2,66.71
72,72,Southampton,7,1.8,0.88,66.59
73,75,Werder Bremen,23,2.0,1.06,66.3
74,76,Galatasaray,34,2.02,1.08,66.17
75,77,Stade Rennes,25,1.72,0.84,66.03
76,63,West Ham United,7,1.88,0.97,65.98
77,82,Sampdoria,4,1.84,0.94,65.95
78,78,Istanbul Basaksehir,34,1.49,0.67,65.94
79,79,Montpellier,25,1.54,0.7,65.87
80,80,Grêmio,5,1.58,0.74,65.74
81,81,St Etienne,25,1.79,0.92,65.62
82,73,Celtic,33,1.93,1.06,64.97
83,84,AFC Bournemouth,7,1.94,1.09,64.61
84,85,Levante,32,2.06,1.2,64.16
85,86,Ludogorets,22,1.68,0.89,64.16
86,87,Feyenoord,30,2.09,1.23,64.11
87,88,AEK Athens,24,1.45,0.71,63.9
88,94,Braga,27,1.7,0.93,63.34
89,89,Lille,25,1.64,0.89,63.29
90,100,Brighton and Hove Albion,7,1.63,0.88,63.29
91,90,Lokomotiv Moscow,18,1.64,0.88,63.27
92,91,Nice,25,1.51,0.78,63.26
93,92,Red Star Belgrade,9,2.02,1.21,63.24
94,93,Viktoria Plzen,22,2.01,1.21,63.07
95,95,Hertha Berlin,23,1.85,1.08,62.98
96,83,Sassuolo,4,1.76,1.0,62.94
97,97,Nantes,25,1.61,0.88,62.75
98,98,FC Augsburg,23,1.89,1.13,62.59
99,99,Standard Liege,6,1.71,0.98,62.57
100,96,Newcastle,7,1.59,0.89,62.18
101,101,Club América,28,1.68,0.97,61.97
102,102,Mainz,23,1.68,0.99,61.5
103,103,Strasbourg,25,1.57,0.91,61.29
104,104,Bordeaux,25,1.52,0.86,61.26
105,106,Internacional,5,1.51,0.86,61.16
106,107,Zenit St Petersburg,18,1.64,0.98,61.07
107,108,Malmo FF,2,1.69,1.02,61.07
108,109,Trabzonspor,34,1.95,1.25,61.07
109,112,River Plate,19,1.51,0.89,60.49
110,113,Shanghai SIPG,12,1.87,1.21,60.46
111,129,Sheffield United,17,1.6,0.97,60.34
112,114,Tigres UANL,28,1.61,0.99,60.29
113,149,Burnley,7,1.7,1.06,60.22
114,115,Besiktas,34,1.79,1.15,60.2
115,116,Spartak Moscow,18,1.67,1.07,59.62
116,117,Atletico Mineiro,5,1.58,0.98,59.55
117,118,Atlético Paranaense,5,1.51,0.93,59.44
118,120,Dinamo Zagreb,22,1.54,0.96,59.29
119,122,Angers,25,1.51,0.94,59.0
120,123,SC Freiburg,23,1.68,1.1,58.96
121,124,Racing Club,19,1.53,0.97,58.95
122,121,Genoa,4,1.68,1.1,58.94
123,133,Cardiff City,7,1.6,1.03,58.89
124,111,Cagliari,4,1.61,1.04,58.83
125,125,Basel,10,1.99,1.38,58.82
126,126,Kawasaki Frontale,14,1.67,1.1,58.81
127,105,Leeds United,17,1.55,0.99,58.8
128,127,Boca Juniors,19,1.53,0.97,58.79
129,128,Fulham,7,1.66,1.1,58.48
130,130,AS Monaco,25,1.51,0.96,58.48
131,143,Udinese,4,1.46,0.93,58.36
132,131,Nimes,25,1.6,1.06,58.21
133,132,AIK,2,1.34,0.83,58.15
134,110,Huddersfield Town,7,1.45,0.93,58.04
135,119,West Bromwich Albion,17,1.65,1.12,57.85
136,135,Reims,25,1.38,0.89,57.54
137,137,Kasimpasa,34,2.09,1.55,57.4
138,138,São Paulo,5,1.34,0.85,57.4
139,134,Spal,4,1.52,1.02,57.38
140,140,Fortuna Düsseldorf,23,1.66,1.16,57.11
141,139,Norwich City,17,1.66,1.16,57.08
142,136,Aston Villa,17,1.73,1.23,57.01
143,141,Yeni Malatyaspor,34,1.51,1.03,56.93
144,142,FC Astana,22,1.67,1.18,56.76
145,144,VfB Stuttgart,23,1.58,1.11,56.49
146,145,Atromitos,24,1.49,1.04,56.45
147,146,BK Hacken,2,1.61,1.15,56.37
148,147,Guingamp,25,1.47,1.02,56.36
149,148,Santos,5,1.39,0.94,56.35
